lr,batch_size,momentum,weight_decay,best_val_acc,test_acc
1e-05,16,0.9,0.0001,0.7948717948717948,0.7021276595744681
1e-05,16,0.9,1e-05,0.7692307692307693,0.7021276595744681
1e-05,16,0.95,0.0001,0.7435897435897436,0.6595744680851063
1e-05,16,0.95,1e-05,0.6666666666666666,0.7021276595744681
1e-05,32,0.9,0.0001,0.7692307692307693,0.574468085106383
1e-05,32,0.9,1e-05,0.717948717948718,0.6382978723404256
1e-05,32,0.95,0.0001,0.7948717948717948,0.6170212765957447
1e-05,32,0.95,1e-05,0.7948717948717948,0.7021276595744681
1e-06,16,0.9,0.0001,0.20512820512820512,0.1276595744680851
1e-06,16,0.9,1e-05,0.48717948717948717,0.5319148936170213
1e-06,16,0.95,0.0001,0.3333333333333333,0.23404255319148937
1e-06,16,0.95,1e-05,0.38461538461538464,0.3191489361702128
1e-06,32,0.9,0.0001,0.5641025641025641,0.44680851063829785
1e-06,32,0.9,1e-05,0.20512820512820512,0.2553191489361702
1e-06,32,0.95,0.0001,0.1282051282051282,0.10638297872340426
1e-06,32,0.95,1e-05,0.20512820512820512,0.1702127659574468
